date,new_cases,total_vaccinations,stringency_index,stay_home_requirements,close_public_transport,cancel_public_events,facial_coverings,school_closures,TEMP,HUMIDITY,WIND
2020-01-31,2,0,19.44,0,0,0,0,0,12,76.3,56
2020-02-01,0,0,19.44,0,0,0,0,0,13,86.5,74
2020-02-02,0,0,19.44,0,0,0,0,0,12,81.4,65
2020-02-03,0,0,19.44,0,0,0,0,0,11,81.5,15
2020-02-04,0,0,19.44,0,0,0,0,0,78,76.9,26
2020-02-05,0,0,19.44,0,0,0,0,0,72,44,19
2020-02-06,0,0,19.44,0,0,0,0,0,58,32.4,85
2020-02-07,1,0,19.44,0,0,0,0,0,67,45.1,64
2020-02-08,0,0,19.44,0,0,0,0,0,97,57.9,11
2020-02-09,0,0,19.44,0,0,0,0,0,12,70,12
2020-02-10,0,0,19.44,0,0,0,0,0,13,83.5,98
2020-02-11,0,0,19.44,0,0,0,0,0,12,79.2,80
2020-02-12,0,0,19.44,0,0,0,0,0,10,64.8,10
2020-02-13,0,0,19.44,0,0,0,0,0,13,72,17
2020-02-14,0,0,19.44,0,0,0,0,0,10,61.5,77
2020-02-15,0,0,19.44,0,0,0,0,0,10,57.3,53
2020-02-16,0,0,19.44,0,0,0,0,0,98,69.4,54
2020-02-17,0,0,19.44,0,0,0,0,0,10,67.9,67
2020-02-18,0,0,19.44,0,0,0,0,0,98,82.4,61
2020-02-19,0,0,19.44,0,0,0,0,0,96,90.2,90
2020-02-20,0,0,19.44,0,0,0,0,0,91,65.8,61
2020-02-21,17,0,27.78,0,0,0,0,0,10,63.7,62
2020-02-22,42,0,37.04,0,0,0,0,0,10,75.5,69
2020-02-23,93,0,69.91,2,0,2,0,3,13,82.9,98
2020-02-24,74,0,69.91,2,0,2,0,3,13,78.7,16
2020-02-25,93,0,69.91,2,0,2,0,3,11,76.3,16
2020-02-26,131,0,69.91,2,0,2,0,3,8,69.8,11
2020-02-27,202,0,69.91,2,0,2,0,3,12,62,16
2020-02-28,233,0,69.91,2,0,2,0,3,10,51.1,15
2020-02-29,240,0,69.91,2,0,2,0,3,13,55.9,23
2020-03-01,566,0,69.91,2,0,2,0,3,13,78.6,24
2020-03-02,342,0,69.91,2,0,2,0,3,10,82.6,17
2020-03-03,466,0,69.91,2,0,2,0,3,91,70.3,10
2020-03-04,587,0,74.54,2,0,2,0,3,10,71,14
2020-03-05,769,0,74.54,2,0,2,0,3,12,67.1,18
2020-03-06,778,0,74.54,2,0,2,0,3,10,77.4,93
2020-03-07,1247,0,74.54,2,0,2,0,3,10,72.3,11
2020-03-08,1492,0,74.54,2,0,2,0,3,91,57.5,83
2020-03-09,1797,0,74.54,2,0,2,0,3,10,64.5,86
2020-03-10,977,0,82.41,2,0,2,0,3,13,62.9,78
2020-03-11,2313,0,85.19,2,1,2,0,3,14,62.3,10
2020-03-12,2651,0,85.19,2,1,2,0,3,13,69.9,61
2020-03-13,2547,0,85.19,2,1,2,0,3,13,84.2,61
2020-03-14,3497,0,85.19,2,1,2,0,3,13,83.7,11
2020-03-15,3590,0,85.19,2,1,2,0,3,13,66.9,93
2020-03-16,3233,0,85.19,2,1,2,0,3,13,55.2,67
2020-03-17,3526,0,85.19,2,1,2,0,3,14,68.8,75
2020-03-18,4207,0,85.19,2,1,2,0,3,15,64.1,86
2020-03-19,5322,0,85.19,2,1,2,0,3,14,56.8,75
2020-03-20,5986,0,91.67,3,1,2,0,3,14,56.8,64
2020-03-21,6557,0,91.67,3,1,2,0,3,14,55.8,98
2020-03-22,5560,0,91.67,3,1,2,0,3,92,58.5,26
2020-03-23,4789,0,91.67,3,1,2,0,3,63,36,23
2020-03-24,5249,0,91.67,3,1,2,0,3,82,47.7,10
2020-03-25,5210,0,91.67,3,1,2,0,3,91,46.6,74
2020-03-26,6203,0,91.67,3,1,2,0,3,11,82.3,98
2020-03-27,5909,0,91.67,3,1,2,0,3,12,79.5,78
2020-03-28,5974,0,91.67,3,1,2,0,3,13,77.8,80
2020-03-29,5217,0,91.67,3,1,2,0,3,13,72.6,75
2020-03-30,4050,0,91.67,3,1,2,0,3,11,71.6,15
2020-03-31,4053,0,91.67,3,1,2,0,3,81,68.3,17
2020-04-01,4782,0,91.67,3,1,2,0,3,10,41.9,99
2020-04-02,4668,0,91.67,3,1,2,0,3,12,53.1,96
2020-04-03,4585,0,91.67,3,1,2,0,3,12,56.2,11
2020-04-04,4805,0,91.67,3,1,2,4,3,14,48.6,10
2020-04-05,4316,0,91.67,3,1,2,4,3,14,39.1,98
2020-04-06,3599,0,91.67,3,1,2,4,3,16,45.5,91
2020-04-07,3039,0,91.67,3,1,2,4,3,16,50.8,10
2020-04-08,3836,0,91.67,3,1,2,4,3,15,53.2,98
2020-04-09,4204,0,91.67,3,1,2,4,3,16,61.7,80
2020-04-10,3951,0,87.96,2,1,2,4,3,15,54.4,67
2020-04-11,4694,0,87.96,2,1,2,4,3,17,56.3,93
2020-04-12,4092,0,93.52,2,2,2,4,3,16,65.7,12
2020-04-13,3153,0,93.52,2,2,2,4,3,13,62.9,91
2020-04-14,2972,0,93.52,2,2,2,4,3,12,79.9,11
2020-04-15,2667,0,93.52,2,2,2,4,3,15,57.5,91
2020-04-16,3786,0,93.52,2,2,2,4,3,16,60.5,96
2020-04-17,3493,0,93.52,2,2,2,4,3,15,67.3,67
2020-04-18,3491,0,93.52,2,2,2,4,3,16,85,72
2020-04-19,3047,0,93.52,2,2,2,4,3,17,80.5,11
2020-04-20,2256,0,93.52,2,2,2,4,3,16,85.9,98
2020-04-21,2729,0,93.52,2,2,2,4,3,14,81.9,59
2020-04-22,3370,0,93.52,2,2,2,4,3,15,95,91
2020-04-23,2646,0,93.52,2,2,2,4,3,17,80.3,94
2020-04-24,3021,0,93.52,2,2,2,4,3,16,71,91
2020-04-25,2357,0,93.52,2,2,2,4,3,17,68.3,90
2020-04-26,2324,0,93.52,2,2,2,4,3,15,58.3,77
2020-04-27,1739,0,93.52,2,2,2,4,3,16,72.9,16
2020-04-28,2091,0,93.52,2,2,2,4,3,16,76.7,13
2020-04-29,2086,0,93.52,2,2,2,4,3,17,77,11
2020-04-30,1872,0,93.52,2,2,2,4,3,18,61.3,15
2020-05-01,1965,0,93.52,2,2,2,4,3,19,62.5,12
2020-05-02,1900,0,93.52,2,2,2,4,3,20,66.4,11
2020-05-03,1389,0,93.52,2,2,2,4,3,19,59.6,10
2020-05-04,1221,0,62.96,1,0,2,4,3,20,46.8,11
2020-05-05,1075,0,62.96,1,0,2,4,3,20,46.6,10
2020-05-06,1444,0,62.96,1,0,2,4,3,18,61.2,12
2020-05-07,1401,0,62.96,1,0,2,4,3,19,49.4,96
2020-05-08,1327,0,62.96,1,0,2,4,3,19,48.8,85
2020-05-09,1083,0,62.96,1,0,2,4,3,20,47.8,11
2020-05-10,802,0,62.96,1,0,2,4,3,18,44,11
2020-05-11,744,0,62.96,1,0,2,4,3,20,63,15
2020-05-12,1402,0,62.96,1,0,2,4,3,23,62.6,22
2020-05-13,888,0,62.96,1,0,2,4,3,24,50.4,17
2020-05-14,992,0,62.96,1,0,2,4,3,20,47.4,10
2020-05-15,789,0,62.96,1,0,2,4,3,24,56.1,17
2020-05-16,875,0,66.67,1,0,2,4,3,24,43.2,14
2020-05-17,675,0,66.67,1,0,2,4,3,25,53,11
2020-05-18,451,0,63.89,1,0,2,4,3,21,50.4,16
2020-05-19,813,0,63.89,1,0,2,4,3,19,64.6,10
2020-05-20,665,0,63.89,1,0,2,4,3,23,72.1,14
2020-05-21,642,0,63.89,1,0,2,4,3,22,41.9,13
2020-05-22,652,0,63.89,1,0,2,4,3,23,40.9,11
2020-05-23,669,0,63.89,1,0,2,4,3,21,44.5,13
2020-05-24,531,0,63.89,1,0,2,4,3,21,53.3,10
2020-05-25,300,0,63.89,1,0,2,4,3,20,59.7,10
2020-05-26,397,0,63.89,1,0,2,4,3,19,45.3,13
2020-05-27,584,0,63.89,1,0,2,4,3,19,39,10
2020-05-28,593,0,63.89,1,0,2,4,3,16,48.6,10
2020-05-29,516,0,63.89,1,0,2,4,3,15,74.8,64
2020-05-30,416,0,63.89,1,0,2,4,3,17,73,10
2020-05-31,333,0,63.89,1,0,2,4,3,19,61.8,10
2020-06-01,200,0,63.89,1,0,2,4,3,20,59.1,99
2020-06-02,318,0,52.78,1,0,2,4,3,20,59.4,10
2020-06-03,321,0,44.44,1,0,2,4,3,21,62.7,24
2020-06-04,177,0,44.44,1,0,2,4,3,19,61.7,17
